trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trials.response,key_resp.rt,corrAns,tilt,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
30,1,20.0,61.27767950005364,61.77841420006007,61.77841420006007,61.77841420006007,,1,0.023460599943064153,right,20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
31,0.5,20.0,61.82765480002854,62.327295399969444,62.327295399969444,62.327295399969444,,1,0.018910299986600876,right,20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
32,0.5,19.5,62.37768270005472,62.87747629999649,62.87747629999649,62.87747629999649,63.177002800046466,0,2.4026160000357777,right,19.5,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
33,0.5,20.0,65.3101518000476,65.81003980000969,65.81003980000969,65.81003980000969,66.10990240005776,1,1.0459429000038654,right,20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
34,0.5,20.0,66.87678970000707,67.37717190000694,67.37717190000694,67.37717190000694,,0,0.19789119996130466,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
35,0.5,20.0,67.59297400002833,68.09319080004934,68.09319080004934,68.09319080004934,,1,0.19839709997177124,right,20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
36,0.5,20.0,68.3095781999873,68.80963200004771,68.80963200004771,68.80963200004771,,0,0.06985450000502169,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
37,0.5,20.0,68.90961830003653,69.40942010004073,69.40942010004073,69.40942010004073,,0,0.02142240002285689,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
38,0.5,20.0,69.5079909999622,69.99298019998241,69.99298019998241,70.00932970002759,,0,0.01878829998895526,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
39,0.5,20.0,70.04265690001193,70.54271069995593,70.54271069995593,70.54271069995593,,1,0.06139659998007119,right,20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
40,0.5,20.0,70.62591059994884,71.1258437000215,71.1258437000215,71.1258437000215,,1,0.07925750000867993,right,20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
41,0.5,20.0,71.22565120004583,71.72572480002418,71.72572480002418,71.72572480002418,72.0254618000472,0,1.9028464999282733,right,20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
42,0.5,20.0,73.65856190002523,74.1589254999999,74.1589254999999,74.1589254999999,74.45856309996452,1,9.173782400088385,left,-20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
43,0.5,20.0,83.35690250003245,83.85692269995343,83.85692269995343,83.85692269995343,84.15764500002842,1,8.51092710008379,right,20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
44,0.5,20.0,92.38872110005468,92.88869679998606,92.88869679998606,92.88869679998606,93.18866640003398,1,1.317072800011374,right,20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
45,0.5,19.5,94.22165540000424,94.72216190001927,94.72216190001927,94.72216190001927,95.0217889000196,1,0.4741766999941319,right,19.5,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
46,0.5,19.5,95.22175959998276,95.72156660002656,95.72156660002656,95.72156660002656,96.0221400000155,0,0.39481399999931455,left,-19.5,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
47,0.5,20.0,96.13810310000554,96.63934470003005,96.63934470003005,96.63934470003005,96.93881289998535,0,0.3972115999786183,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
48,0.5,20.0,97.05464009998832,97.55462239996996,97.55462239996996,97.55462239996996,97.85472820000723,1,0.49092469993047416,right,20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
49,0.5,20.0,98.07130329997744,98.57144440000411,98.57144440000411,98.57144440000411,98.87092350004241,0,0.3857445999747142,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
